education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,country,depression_total_score,anxiety_total_score,stress_total_score
2,3,2,2,16,1,1,1,70,2,1,2,,UY,49,39,41
3,3,2,2,17,1,8,1,10,2,1,3,Law,ID,19,15,16
2,1,3,1,18,1,2,4,60,2,1,4,,US,27,32,35
3,2,2,2,21,1,6,1,10,1,1,2,Literature,ID,35,35,38
3,3,1,1,31,1,6,1,10,1,1,3,Politics,MY,53,49,49
3,1,2,1,56,2,6,1,60,2,2,5,,CA,26,24,23
3,2,2,2,32,1,7,1,10,2,1,4,international studies,US,47,43,42
1,3,1,2,14,1,2,2,60,2,1,2,,DE,51,50,52
3,2,2,2,23,1,10,1,10,2,1,6,Accountancy,MY,45,40,41
3,1,1,2,19,1,10,1,70,2,1,5,Physics,MY,37,36,32
3,3,2,2,23,1,10,5,70,2,1,4,Business,MY,54,51,56
3,3,2,1,24,1,10,5,10,1,1,8,Psychology,MY,28,27,32
2,3,1,1,20,1,6,1,30,2,1,4,,US,44,40,43
3,3,2,2,18,1,10,1,10,2,1,4,Law,MY,16,15,17
3,3,1,1,33,1,4,1,60,1,2,2,Criminal Justice,US,41,42,44
3,3,2,2,24,1,10,1,10,1,1,7,Biology,MY,21,19,22
3,2,2,2,23,1,10,3,10,1,1,5,Chemical engineering,MY,56,49,54
3,3,2,2,19,1,10,5,10,2,1,6,Marketing,MY,28,25,26
2,3,2,2,22,1,8,1,10,2,1,2,,IN,39,39,35
3,2,1,1,29,1,3,1,60,1,1,3,"Art, International Studies, Computer Science",US,34,31,37
3,2,2,1,18,1,1,4,60,2,1,3,Computer Information Technology,US,28,34,32
3,2,2,2,20,2,10,1,10,2,1,4,Communication with psychology,MY,36,36,42
3,3,2,1,25,1,10,1,10,1,1,4,Management ,MY,43,43,39
2,1,2,2,16,1,10,1,70,2,1,1,,MY,32,28,22
3,3,2,2,23,1,7,1,10,1,1,3,Psychology,PH,32,27,31
1,3,1,2,16,1,2,1,60,2,1,1,,PL,27,27,26
2,2,2,1,20,1,1,2,60,2,1,1,,US,31,25,26
1,1,2,1,16,2,4,4,60,2,1,2,,US,42,30,37
4,3,2,1,56,1,6,1,50,1,3,4,No,US,15,16,19
2,3,2,2,20,1,10,1,10,2,1,2,,MY,52,55,54
2,3,2,1,19,1,2,2,60,1,1,1,,GB,39,40,43
4,1,2,2,22,1,10,5,10,0,3,3,Environtmental health,US,27,27,21
3,1,2,2,20,1,10,1,10,2,1,2,Mechanical engineering ,MY,28,24,32
3,3,2,2,20,1,10,1,10,2,1,3,Accounting,MY,28,29,25
3,1,2,1,19,2,10,5,10,2,1,5,early childhood education,MY,40,34,39
3,1,2,1,17,1,10,1,10,2,2,3,psychology,MY,51,47,49
3,1,2,2,19,1,10,1,10,2,1,4,language,MY,40,37,44
4,2,2,2,29,1,10,1,10,2,1,4,Mechanical engineering,MY,26,22,21
3,3,2,2,17,1,4,1,10,2,1,2,Accountancy,BH,39,32,31
2,3,1,2,15,2,12,1,60,2,1,3,,LT,25,22,22
3,2,2,2,21,1,10,5,10,2,2,3,Logistics ,MY,43,42,46
2,3,1,2,19,1,2,1,60,2,1,3,,FI,40,35,40
4,1,1,1,34,1,12,1,60,2,2,2,English,GB,21,17,21
3,1,1,2,21,1,10,1,10,2,1,5,computer science,MY,46,40,51
1,3,2,1,17,1,4,2,50,2,1,4,,CA,33,24,29
3,1,2,2,20,1,10,5,70,2,1,3,Accounting,MY,48,48,46
